,symbol,MIS_margin_X_times,CNC_margin_X_times
956,MOLDTKPAC,10,3
957,MONTECARLO,7,1
958,MORARJEE,0,1
959,MOREPENLAB,10,2
960,MOTHERSUMI,10,2
961,MOTILALOFS,10,3
962,MOTOGENFIN,0,1
963,MPHASIS,10,3
964,MPSLTD,7,1
965,MRF,10,3
966,MRO-TEK,7,2
967,MRPL,10,3
968,MSPL,0,1
969,MSTCLTD,10,2
970,MTEDUCARE,1,1
971,MTNL,1,1
972,MUKANDENGG,1,1
973,MUKANDLTD,7,2
974,MUKTAARTS,1,1
975,MUNJALAU,7,2
976,MUNJALSHOW,7,1
977,MURUDCERA,1,1
978,MUTHOOTCAP,7,2
979,MUTHOOTFIN,10,2
980,NACLIND,7,2
981,NAGAFERT,0,1
982,NAGREEKCAP,0,1
983,NAGREEKEXP,1,1
984,NAHARCAP,7,1
985,NAHARINDUS,0,1
986,NAHARPOLY,7,2
987,NAHARSPING,1,1
988,NAM-INDIA,10,2
989,NATCOPHARM,10,3
990,NATHBIOGEN,10,2
991,NATIONALUM,10,3
992,NATNLSTEEL,0,1
993,NAUKRI,10,3
994,NAVINFLUOR,10,3
995,NAVKARCORP,7,2
996,NAVNETEDUL,10,3
997,NBCC,10,2
998,NBVENTURES,10,2
999,NCC,10,2
1000,NCLIND,10,3
1001,NDL,7,2
1002,NDRAUTO,7,2
1003,NDTV,1,2
1004,NECCLTD,1,1
1005,NECLIFE,1,1
1006,NELCAST,7,2
1007,NELCO,10,3
1008,NEOGEN,10,3
1009,NESCO,10,3
1010,NESTLEIND,10,3
1011,NETFNIF100,7,1
1012,NETWORK18,10,3
1013,NEULANDLAB,10,2
1014,NEWGEN,10,3
1015,NEXTMEDIA,0,1
1016,NFL,10,3
1017,NH,10,3
1018,NHPC,1,1
1019,NIACL,10,3
1020,NIBL,0,1
1021,NIITLTD,10,3
1022,NILAINFRA,0,1
1023,NILASPACES,0,1
1024,NILKAMAL,10,3
1025,NIPPOBATRY,7,2
1026,NIRAJ,0,1
1027,NITCO,1,1
1028,NITINFIRE,0,1
1029,NITINSPIN,0,1
1030,NKIND,1,1
1031,NLCINDIA,10,3
1032,NMDC,10,2
1033,NOCIL,10,2
1034,NOIDATOLL,0,1
1035,NORBTEAEXP,0,1
1036,NOVARTIND,10,3
1037,NRAIL,7,2
1038,NRBBEARING,10,2
1039,NSIL,7,2
1040,NTL,0,1
1041,NTPC,10,3
1042,NUCLEUS,10,3
1043,NXTDIGITAL,7,1
1044,OAL,1,1
1045,OBEROIRLTY,10,3
1046,OCCL,10,3
1047,OFSS,10,3
1048,OIL,10,3
